MatchID,EventID,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
3682,168,17,103,Gen.G,Immortals,2,1
3681,168,1166,468,Time In,Renegades,1,0
3685,168,14,793,T1,Moon Raccoons,2,0
3678,168,631,637,beastcoast,Rise,1,0
3679,168,188,1152,Cloud9,Equinox Esports,1,0
3680,168,423,642,Mamba Mode Gaming,Luminosity,1,0
3683,168,856,470,Andbox,Complexity,2,0
3684,168,337,674,FaZe Clan,Spacestation Gaming,2,1
3670,168,17,631,Gen.G,beastcoast,1,0
3671,168,103,637,Immortals,Rise,1,0
3674,168,337,423,FaZe Clan,Mamba Mode Gaming,1,0
3676,168,14,1166,T1,Time In,1,0
4004,174,659,658,Dambis,Naura,2,0
3513,163,651,614,Cloud9 Korea,T1 Korea,1,2
3223,146,617,877,Team SMG,Resurgence,1,1
3658,148,980,361,Santiago Wanderers,Furious Gaming,3,0
3991,170,326,659,nolpenki,Dambis,2,0
4043,177,1164,1165,Awake Esports,Santino,1,0
4045,177,1071,4616,unsigned,UCAM Esports Club,1,0
3526,163,104,496,REJECT,ahq e-Sports Club,2,1
4021,175,651,510,Cloud9 Korea,No Mercy,2,1
3525,163,614,496,T1 Korea,ahq e-Sports Club,1,2
3524,163,104,614,REJECT,T1 Korea,1,2
3932,161,788,1011,Noxsports(VASTA Gaming),TT willhaben(ZEITGEIST),1,1
3934,161,832,1113,Austrian Force(alltheRAGE),Wooky eSports(Mandala),2,0
3988,170,654,659,ROX TEAM,Dambis,1,1
3699,165,1001,547,Team Heretics,ex-Giants Gaming,2,0
3931,161,1066,324,NerdTown eSport,Wave Esports,2,0
3975,152,756,1035,ehehxd,Cream Real Betis,2,1
3989,170,921,326,Oxygen Esports,nolpenki,1,1
4025,91,279,905,Absolute JUPITER,KaiXin Esports,1,0
3629,91,279,283,Absolute JUPITER,Sengoku Gaming,2,0
4018,175,614,1053,T1 Korea,project_kr,2,0
3698,165,547,1035,ex-Giants Gaming,Cream Real Betis,2,0
3697,165,1001,353,Team Heretics,B7 Warriors,2,0
4000,174,1148,659,CH1LL,Dambis,1,2
3943,164,1057,651,aNg DarkHorse,Cloud9 Korea,1,0
3974,152,1035,548,Cream Real Betis,Wygers,2,0
3928,161,324,788,Wave Esports,Noxsports(VASTA Gaming),2,0
3980,170,658,1142,Naura,Nihil,2,0
3645,149,982,984,Marten Gaming,Team Toxic,1,0
3644,149,981,986,CR4ZY,euphoria,1,0
3973,152,756,4538,ehehxd,Team Queso,2,1
3646,149,983,987,Good Game,lvlUP,1,0
3981,170,658,400,Naura,flawless,1,1
3948,164,198,261,DRX Vision Strikers,Quantum Strikers ,1,0
3945,164,1057,614,aNg DarkHorse,T1 Korea,1,0
3947,164,1132,1059,CoreNine Esports,SeolHaeOne Prince,1,0
3971,164,198,1139,DRX Vision Strikers,BE INFAMOUS,1,0
3951,164,261,567,Quantum Strikers ,VAC Kimchi,1,0
3642,149,981,988,CR4ZY,MUTED,1,0
3792,127,216,502,China Nguyen,Shiba,2,0
3793,127,423,637,Mamba Mode Gaming,Rise,2,0
3641,149,983,986,Good Game,euphoria,1,0
3359,115,326,579,nolpenki,Entropiq,2,0
3788,127,216,826,China Nguyen,Team Untold,2,0
3789,127,1116,502,SUPERFLY,Shiba,1,2
3791,127,637,827,Rise,Genesis,2,0
3124,81,682,3,Gambit Esports,Ninjas in Pyjamas,1,2
3358,115,579,654,Entropiq,ROX TEAM,2,0
